Group,Type,Sentence,Question,Answer
A_control_list1,filler58,The disappointed teacher graded the final exams very harshly.,Did the teacher give lots of high grades?,"No
"
A_control_list1,RRC38,The sleepy volunteers offered the hot soup were glad to take a break to eat.,Were the volunteers happy to take a break?,"Yes
"
A_control_list1,filler35,The celebrity redid her makeup before going on stage.,Did the celebrity redo her makeup after going on stage?,"No
"
A_control_list1,RRC11,The six volunteers taught the complicated procedure learned it very well.,Was the procedure simple?,"No
"
A_control_list1,RRC4,The excited girl bought the shiny toy played with it all day.,Did the girl like the toy?,"Yes
"
A_control_list1,filler19,The two students exchanged notes until they were caught by the teacher.,Were the students caught by the teacher?,"Yes
"
A_control_list1,RRC14,The playful teenager baked the pie refused to share it with the others.,Did the teenager want to share the pie?,"No
"
A_control_list1,filler56,The thieves stole the jewels but left everything else untouched.,Did the thieves steal everything?,"No
"
A_control_list1,URC7,The international student who was left the warm jacket was grateful for it in the winter.,Was the winter cold?,"Yes
"
A_control_list1,filler14,Patrick woke up to find himself alone in the house.,Were there other people around when Patrick woke up?,"No
"
A_control_list1,filler28,The doctor mistook the symptoms for food poisoning.,Did the patient have food poisoning? ,"No
"
A_control_list1,URC16,The evil genie who was served the golden figs went into a trance.,Did the genie eat the figs?,"Yes
"
A_control_list1,URC9,The experienced soldiers who were asked about the dangers conducted the midnight raid.,Was there a raid?,"Yes
"
A_control_list1,filler24,The jogger inhaled deeply in an attempt to regain his breath.,Was the jogger out of breath?,"Yes
"
A_control_list1,filler15,The jogger accidentally crushed the flower underneath her foot.,Did the jogger intend to step on the flower?,"No
"
A_control_list1,RRC39,The frail woman refused the treatment decided to try her luck elsewhere.,Did the woman stop looking for treatment?,"No
"
A_control_list1,filler6,The arrogant man added the woman's contact information to his phone.,Did the man get the woman's phone number?,"Yes
"
A_control_list1,RRC1,The tired teacher brought the ungraded assignments was not looking forward to grading them.,Was the teacher excited to grade the papers?,"No
"
A_control_list1,URC8,The experienced waitress who was cooked the grilled chicken sent her food back.,Was the chicken fried?,"No
"
A_control_list1,RRC6,The hospital patient bathed in his room read the newspaper constantly.,Did the patient like to read?,"Yes
"
A_control_list1,URC36,The young clerk who was handed the long report filed it right away.,Did the clerk take a long time to file the report?,"No
"
A_control_list1,filler21,Foreigners unfailingly fall in love with the place.,Did foreigners like the place?,"Yes
"
A_control_list1,RRC26,The young children stopped in the hallway were following the adults.,Were the children following someone?,"Yes
"
A_control_list1,filler13,The dog was confined to the living room while the vacuum was running.,Was the dog confined to the bedroom? ,"No
"
A_control_list1,URC33,The ferocious lions that were attacked during the day were unable to escape the hunters.,Did the hunters catch the lions?,"Yes
"
A_control_list1,filler43,The young boy sang a song that showcased his remarkable talent.,Was the boy talented?,"Yes
"
A_control_list1,filler7,The excited toddler blew out all the candles and wished for a pony.,Did the toddler want a pony?,"Yes
"
A_control_list1,filler55,The chairman spoke for half an hour at the meeting.,Did the chairman speak for 45 minutes?,"No
"
A_control_list1,filler2,The ornate clock chimed loudly every time it struck a new hour.,Was the clock working?,"Yes
"
A_control_list1,RRC24,The talented musician played the beautiful song applauded in delight.,Did the musician like the song>,"Yes
"
A_control_list1,filler17,The student pretended to be sick until their mother left the room.,Was the student really sick?,"No
"
A_control_list1,URC15,The hippie children who were rinsed in the river were later taken berry-picking.,Were the children rinsed in a pond?,"No
"
A_control_list1,filler40,The clever siblings knew the best strategies to stay out of trouble.,Were the siblings foolish?,"No
"
A_control_list1,filler59,The rabbit hopped across the street without getting hit by a car.,Did the rabbit make it to the other side safely?,"Yes
"
A_control_list1,RRC28,The competent administrator delivered the message made the necessary arrangements.,Was the administrator well-prepared?,"Yes
"
A_control_list1,RRC18,The helpful librarian lent the frayed book took good care of it.,Was the book in good condition?,"No
"
A_control_list1,RRC35,The ailing mother prepared a hot meal ate it gratefully before going to bed.,Was the mother in good health?,"No
"
A_control_list1,filler50,The children shrank back from the clown in revulsion.,Did the children like the clown?,"No
"
A_control_list1,filler39,The crossing deer froze in fear as headlights approached them on the road.,Were the deer scared?,"Yes
"
A_control_list1,filler5,The kindergartner bade good bye to her mother and ran to her friends.,Did the kindergartner bid good bye to her father?,"No
"
A_control_list1,URC2,The itchy cat that was scratched behind its ears purred loudly and happily in satisfaction.,Was the cat pleased?,"Yes
"
A_control_list1,URC22,The comical teenager who was sent the curious package was excited to open it.,Was the teenager eager to open the package?,"Yes
"
A_control_list1,URC25,The little girl who was sat on the couch fell down and started crying.,Did the girl remain on the couch?,"No
"
A_control_list2,filler62,The teenagers swore to be best friends forever.,Did the teenagers think that they were going to continue being good friends?,"Yes
"
A_control_list2,filler38,The contestants each ate over ten hot dogs as part of a speed-eating competition.,Were over ten hot dogs eaten?,"Yes
"
A_control_list2,filler11,The hiker was overcome by the heat and needed to rest for a few minutes.,Did the hiker need a break?,"Yes
"
A_control_list2,filler51,"Judy sank into the luxurious seat, enjoying the smell of leather.",Was the seat made of leather? ,"Yes
"
A_control_list2,filler46,The talented lawyer argued that his client had never been to the scene of the crime.,Was the lawyer talented?,"Yes
"
A_control_list2,filler20,The hungry dog ate all of the food in the bowl.,Was there any food left in the bowl?,"No
"
A_control_list2,filler32,The friends studied together all day for an upcoming exam in their hardest class.,Did the friends study independently?,"No
"
A_control_list2,filler8,The girl apologized to her parents for having stayed out past curfew.,Was the girl caught staying out late?,"Yes
"
A_control_list2,filler47,The energetic cat batted at the dust specks floating in the air.,Was the cat lazy?,"No
"
A_control_list2,filler30,The gardener mowed the wide lawns and seeded them.,Were the lawns large?,"Yes
"
A_control_list2,filler33,When the driver eventually overtook the last truck he pulled over to the inside lane.,Did the driver overtake all the trucks?,"Yes
"
A_control_list2,filler12,The spy came very quietly and secretly to escape the soldiers.,Did the spy make a lot of noise?,"No
"
A_control_list2,filler44,The knight from the storybook slew a dragon to get into the castle.,Did the knight kill the dragon?,"Yes
"
A_control_list2,filler4,John became more frustrated with each passing minute.,Did John get less frustrated over time?,"No
"
A_control_list2,filler61,The students eagerly participated in the annual athletics festival.,Did the students want to participate?,"Yes
"
A_control_list2,filler63,The fish swam all around Jane and nipped at her legs.,Did the fish avoid Jane?,"No
"
A_control_list2,filler29,The singer practiced all day until she could hit the high notes every time.,Was the singer able to hit the high notes without practicing?,"No
"
A_control_list2,filler25,The new manager undid most of the good work of his predecessor.,Did the previous manager do good work?,"Yes
"
A_control_list2,filler49,The strict instructor confiscated the students' cell phones before class.,Was the instructor lenient?,"No
"
A_control_list2,filler37,The basketball player's ankle swelled as he limped off the court.,Was the player injured?,"Yes
"
A_control_list2,filler18,They drew lots to settle who should make dinner that day.,Did they draw lots to decide who should make lunch?,"No
"
A_control_list2,filler34,The woman eagerly waited to hear back from the dance company.,Was the woman looking forward to hearing some news?,"Yes
"
A_control_list2,filler23,"Even though Joanna flew directly to Boston on Friday, she still missed the conference.",Was Joanna able to attend the conference?,"No
"
A_control_list2,filler27,Anita lay on the grass and looked up at the stars.,Was Anita outside? ,"Yes
"
A_control_list2,filler31,The babysitter ran frantically after the misbehaving children in the park.,Were the children well behaved?,"No
"
A_control_list2,filler45,The impatient brother immediately took the toy away from his younger sister.,Did the brother like to share?,"No
"
A_control_list2,filler26,Maria went upstairs and changed into jeans and a fitted blouse.,Did Maria change into a dress?,"No
"
A_control_list2,filler1,The new student talked to all of her new classmates on the playground during recess.,Were there some classmates the new student did not talk to?,"No
"
A_control_list2,filler64,Lily trod on a lot of toes when she joined the company.,Did Lily upset people when she joined the company?,Yes
A_control_list2,filler57,The secret society framed a local man for all of their crimes.,Was the man guilty?,"No
"
A_control_list2,filler16,Peter did all the dishes before putting his children to bed.,Did Peter do the dishes after putting the children bed?,"No
"
A_control_list2,filler3,A different kind of fire arose within Andrew as he thought about the new idea.,Was Andrew passionate about the idea?,"Yes
"
A_control_list2,filler22,The sparkles on the celebrity's dress glittered under the harsh lighting.,Did the outfit have sparkles on it? ,"Yes
"
A_control_list2,RRC5,The frazzled mother cut a cake slice sat down and ate it gratefully.,Was the mother exhausted?,"Yes
"
A_control_list2,RRC34,The energetic kid kicked the ball caught it with one hand.,Was the kid lethargic?,"No
"
A_control_list2,filler42,The seated boy rose up to answer the teacher's question on the chalkboard.,Did the boy get out of his seat?,"Yes
"
A_control_list2,filler53,The family cheerfully decorated the house just in time for the holidays.,Did the family enjoy decorating the house?,"Yes
"
A_control_list2,filler58,The disappointed teacher graded the final exams very harshly.,Did the teacher give lots of high grades?,"No
"
A_control_list2,URC38,The sleepy volunteers who were offered the hot soup were glad to take a break to eat.,Were the volunteers happy to take a break?,"Yes
"
A_control_list2,filler35,The celebrity redid her makeup before going on stage.,Did the celebrity redo her makeup after going on stage?,"No
"
A_control_list2,URC11,The six volunteers who were taught the complicated procedure learned it very well.,Was the procedure simple?,"No
"
A_control_list2,URC4,The excited girl who was bought the shiny toy played with it all day.,Did the girl like the toy?,"Yes
"
A_control_list2,filler19,The two students exchanged notes until they were caught by the teacher.,Were the students caught by the teacher?,"Yes
"
A_control_list2,URC14,The playful teenager who was baked the pie refused to share it with the others.,Did the teenager want to share the pie?,"No
"
A_control_list2,filler56,The thieves stole the jewels but left everything else untouched.,Did the thieves steal everything?,"No
"
A_control_list2,RRC7,The international student left the warm jacket was grateful for it in the winter.,Was the winter cold?,"Yes
"
A_control_list2,filler14,Patrick woke up to find himself alone in the house.,Were there other people around when Patrick woke up?,"No
"
A_control_list2,filler28,The doctor mistook the symptoms for food poisoning.,Did the patient have food poisoning? ,"No
"
A_control_list2,RRC16,The evil genie served the golden figs went into a trance.,Did the genie eat the figs?,"Yes
"
A_control_list2,RRC9,The experienced soldiers asked about the dangers conducted the midnight raid.,Was there a raid?,"Yes
"
A_control_list2,filler24,The jogger inhaled deeply in an attempt to regain his breath.,Was the jogger out of breath?,"Yes
"
A_control_list2,filler15,The jogger accidentally crushed the flower underneath her foot.,Did the jogger intend to step on the flower?,"No
"
A_control_list2,URC39,The frail woman who was refused the treatment decided to try her luck elsewhere.,Did the woman stop looking for treatment?,"No
"
A_control_list2,filler6,The arrogant man added the woman's contact information to his phone.,Did the man get the woman's phone number?,"Yes
"
A_control_list2,URC1,The tired teacher who was brought the ungraded assignments was not looking forward to grading them.,Was the teacher excited to grade the papers?,"No
"
A_control_list2,RRC8,The experienced waitress cooked the grilled chicken sent her food back.,Was the chicken fried?,"No
"
A_control_list2,URC6,The hospital patient who was bathed in his room read the newspaper constantly.,Did the patient like to read?,"Yes
"
A_control_list2,RRC36,The young clerk handed the long report filed it right away.,Did the clerk take a long time to file the report?,"No
"
A_control_list2,filler21,Foreigners unfailingly fall in love with the place.,Did foreigners like the place?,"Yes
"
A_control_list2,URC26,The young children who were stopped in the hallway were following the adults.,Were the children following someone?,"Yes
"
A_control_list2,filler13,The dog was confined to the living room while the vacuum was running.,Was the dog confined to the bedroom? ,"No
"
A_control_list2,RRC33,The ferocious lions attacked during the day were unable to escape the hunters.,Did the hunters catch the lions?,"Yes
"
A_control_list2,filler43,The young boy sang a song that showcased his remarkable talent.,Was the boy talented?,"Yes
"
A_control_list2,filler7,The excited toddler blew out all the candles and wished for a pony.,Did the toddler want a pony?,"Yes
"
A_control_list2,filler55,The chairman spoke for half an hour at the meeting.,Did the chairman speak for 45 minutes?,"No
"
A_control_list2,filler2,The ornate clock chimed loudly every time it struck a new hour.,Was the clock working?,"Yes
"
A_control_list2,URC24,The talented musician who was played the beautiful song applauded in delight.,Did the musician like the song>,"Yes
"
A_control_list2,filler17,The student pretended to be sick until their mother left the room.,Was the student really sick?,"No
"
A_control_list2,RRC15,The hippie children rinsed in the river were later taken berry-picking.,Were the children rinsed in a pond?,"No
"
A_control_list2,filler40,The clever siblings knew the best strategies to stay out of trouble.,Were the siblings foolish?,"No
"
A_control_list2,filler59,The rabbit hopped across the street without getting hit by a car.,Did the rabbit make it to the other side safely?,"Yes
"
A_control_list2,URC28,The competent administrator who was delivered the message made the necessary arrangements.,Was the administrator well-prepared?,"Yes
"
A_control_list2,URC18,The helpful librarian who was lent the frayed book took good care of it.,Was the book in good condition?,"No
"
A_control_list2,URC35,The ailing mother who was prepared a hot meal ate it gratefully before going to bed.,Was the mother in good health?,"No
"
A_control_list2,filler50,The children shrank back from the clown in revulsion.,Did the children like the clown?,"No
"
A_control_list2,filler39,The crossing deer froze in fear as headlights approached them on the road.,Were the deer scared?,"Yes
"
A_control_list2,filler5,The kindergartner bade good bye to her mother and ran to her friends.,Did the kindergartner bid good bye to her father?,"No
"
A_control_list2,RRC2,The itchy cat scratched behind its ears purred loudly and happily in satisfaction.,Was the cat pleased?,"Yes
"
A_control_list2,RRC22,The comical teenager sent the curious package was excited to open it.,Was the teenager eager to open the package?,"Yes
"
A_control_list2,RRC25,The little girl sat on the couch fell down and started crying.,Did the girl remain on the couch?,"No
"
A_exp_list1,filler62,The teenagers swore to be best friends forever.,Did the teenagers think that they were going to continue being good friends?,"Yes
"
A_exp_list1,RRC32,The nervous wrestler hurried through the stands hadn't seen his opponent.,Did the wrestler know his opponent?,"No
"
A_exp_list1,RRC20,The angry workers warned about low wages decided to file complaints.,Were the workers happy with their wages?,"No
"
A_exp_list1,filler51,"Judy sank into the luxurious seat, enjoying the smell of leather.",Was the seat made of leather? ,"Yes
"
A_exp_list1,RRC3,The frightened kid moved through the crowd got separated from Jane.,Was the kid scared?,"Yes
"
A_exp_list1,filler20,The hungry dog ate all of the food in the bowl.,Was there any food left in the bowl?,"No
"
A_exp_list1,RRC37,The rescue workers advised about the avalanche decided to stand by regardless.,Did the rescue workers know about the avalanche?,"Yes
"
A_exp_list1,RRC29,The little boy fed the rice crackers looked like he wanted to eat something else.,Did the boy want to eat the crackers?,"Yes
"
A_exp_list1,filler47,The energetic cat batted at the dust specks floating in the air.,Was the cat lazy?,"No
"
A_exp_list1,filler30,The gardener mowed the wide lawns and seeded them.,Were the lawns large?,"Yes
"
A_exp_list1,RRC31,The young kid undressed in a hurry got ready to go to school.,Was the kid going to his friend's house?,"No
"
A_exp_list1,RRC27,The bearded man shaved two weeks ago liked his stylish new look.,Was the man disappointed with his new look?,"No
"
A_exp_list1,RRC19,The skilled player passed the soccer ball failed to score a goal.,Did the player get a point?,"No
"
A_exp_list1,filler4,John became more frustrated with each passing minute.,Did John get less frustrated over time?,"No
"
A_exp_list1,RRC13,The skeptical editor read the story agreed reluctantly that it was very good.,Did the editor expect to like the story?,"No
"
A_exp_list1,filler63,The fish swam all around Jane and nipped at her legs.,Did the fish avoid Jane?,"No
"
A_exp_list1,RRC40,The avid reader suggested the unusual book enjoyed reading it very much.,Did the reader like the book?,Yes
A_exp_list1,filler25,The new manager undid most of the good work of his predecessor.,Did the previous manager do good work?,"Yes
"
A_exp_list1,filler49,The strict instructor confiscated the students' cell phones before class.,Was the instructor lenient?,"No
"
A_exp_list1,filler37,The basketball player's ankle swelled as he limped off the court.,Was the player injured?,"Yes
"
A_exp_list1,RRC10,My generous friend paid for the tickets bought popcorn for everyone.,Was the friend uncharitable?,"No
"
A_exp_list1,filler34,The woman eagerly waited to hear back from the dance company.,Was the woman looking forward to hearing some news?,"Yes
"
A_exp_list1,filler23,"Even though Joanna flew directly to Boston on Friday, she still missed the conference.",Was Joanna able to attend the conference?,"No
"
A_exp_list1,RRC21,The blue pen rested on the desk wound up getting stolen.,Was the pen blue?,"Yes
"
A_exp_list1,filler31,The babysitter ran frantically after the misbehaving children in the park.,Were the children well behaved?,"No
"
A_exp_list1,RRC30,The poker player dealt the cards was frustrated with his bad hand.,Was the player happy with the cards he got?,"No
"
A_exp_list1,RRC12,The sly merchant sold the faulty devices was angry with himself for not noticing.,Were the devices defective?,"Yes
"
A_exp_list1,RRC23,The yellow frisbee dangled from the roof landed in the ditch.,Did the frisbee stay on the roof?,"No
"
A_exp_list1,filler64,Lily trod on a lot of toes when she joined the company.,Did Lily upset people when she joined the company?,Yes
A_exp_list1,filler57,The secret society framed a local man for all of their crimes.,Was the man guilty?,"No
"
A_exp_list1,filler16,Peter did all the dishes before putting his children to bed.,Did Peter do the dishes after putting the children bed?,"No
"
A_exp_list1,RRC17,The excited toddler built the lego house played with it all day.,Did the toddler like the lego house?,"Yes
"
A_exp_list1,filler22,The sparkles on the celebrity's dress glittered under the harsh lighting.,Did the outfit have sparkles on it? ,"Yes
"
A_exp_list1,URC5,The frazzled mother who was cut a cake slice sat down and ate it gratefully.,Was the mother exhausted?,"Yes
"
A_exp_list1,URC34,The energetic kid who was kicked the ball caught it with one hand.,Was the kid lethargic?,"No
"
A_exp_list1,filler42,The seated boy rose up to answer the teacher's question on the chalkboard.,Did the boy get out of his seat?,"Yes
"
A_exp_list1,filler53,The family cheerfully decorated the house just in time for the holidays.,Did the family enjoy decorating the house?,"Yes
"
A_exp_list1,filler58,The disappointed teacher graded the final exams very harshly.,Did the teacher give lots of high grades?,"No
"
A_exp_list1,RRC38,The sleepy volunteers offered the hot soup were glad to take a break to eat.,Were the volunteers happy to take a break?,"Yes
"
A_exp_list1,filler35,The celebrity redid her makeup before going on stage.,Did the celebrity redo her makeup after going on stage?,"No
"
A_exp_list1,RRC11,The six volunteers taught the complicated procedure learned it very well.,Was the procedure simple?,"No
"
A_exp_list1,RRC4,The excited girl bought the shiny toy played with it all day.,Did the girl like the toy?,"Yes
"
A_exp_list1,filler19,The two students exchanged notes until they were caught by the teacher.,Were the students caught by the teacher?,"Yes
"
A_exp_list1,RRC14,The playful teenager baked the pie refused to share it with the others.,Did the teenager want to share the pie?,"No
"
A_exp_list1,filler56,The thieves stole the jewels but left everything else untouched.,Did the thieves steal everything?,"No
"
A_exp_list1,URC7,The international student who was left the warm jacket was grateful for it in the winter.,Was the winter cold?,"Yes
"
A_exp_list1,filler14,Patrick woke up to find himself alone in the house.,Were there other people around when Patrick woke up?,"No
"
A_exp_list1,filler28,The doctor mistook the symptoms for food poisoning.,Did the patient have food poisoning? ,"No
"
A_exp_list1,URC16,The evil genie who was served the golden figs went into a trance.,Did the genie eat the figs?,"Yes
"
A_exp_list1,URC9,The experienced soldiers who were asked about the dangers conducted the midnight raid.,Was there a raid?,"Yes
"
A_exp_list1,filler24,The jogger inhaled deeply in an attempt to regain his breath.,Was the jogger out of breath?,"Yes
"
A_exp_list1,filler15,The jogger accidentally crushed the flower underneath her foot.,Did the jogger intend to step on the flower?,"No
"
A_exp_list1,RRC39,The frail woman refused the treatment decided to try her luck elsewhere.,Did the woman stop looking for treatment?,"No
"
A_exp_list1,filler6,The arrogant man added the woman's contact information to his phone.,Did the man get the woman's phone number?,"Yes
"
A_exp_list1,RRC1,The tired teacher brought the ungraded assignments was not looking forward to grading them.,Was the teacher excited to grade the papers?,"No
"
A_exp_list1,URC8,The experienced waitress who was cooked the grilled chicken sent her food back.,Was the chicken fried?,"No
"
A_exp_list1,RRC6,The hospital patient bathed in his room read the newspaper constantly.,Did the patient like to read?,"Yes
"
A_exp_list1,URC36,The young clerk who was handed the long report filed it right away.,Did the clerk take a long time to file the report?,"No
"
A_exp_list1,filler21,Foreigners unfailingly fall in love with the place.,Did foreigners like the place?,"Yes
"
A_exp_list1,RRC26,The young children stopped in the hallway were following the adults.,Were the children following someone?,"Yes
"
A_exp_list1,filler13,The dog was confined to the living room while the vacuum was running.,Was the dog confined to the bedroom? ,"No
"
A_exp_list1,URC33,The ferocious lions that were attacked during the day were unable to escape the hunters.,Did the hunters catch the lions?,"Yes
"
A_exp_list1,filler43,The young boy sang a song that showcased his remarkable talent.,Was the boy talented?,"Yes
"
A_exp_list1,filler7,The excited toddler blew out all the candles and wished for a pony.,Did the toddler want a pony?,"Yes
"
A_exp_list1,filler55,The chairman spoke for half an hour at the meeting.,Did the chairman speak for 45 minutes?,"No
"
A_exp_list1,filler2,The ornate clock chimed loudly every time it struck a new hour.,Was the clock working?,"Yes
"
A_exp_list1,RRC24,The talented musician played the beautiful song applauded in delight.,Did the musician like the song>,"Yes
"
A_exp_list1,filler17,The student pretended to be sick until their mother left the room.,Was the student really sick?,"No
"
A_exp_list1,URC15,The hippie children who were rinsed in the river were later taken berry-picking.,Were the children rinsed in a pond?,"No
"
A_exp_list1,filler40,The clever siblings knew the best strategies to stay out of trouble.,Were the siblings foolish?,"No
"
A_exp_list1,filler59,The rabbit hopped across the street without getting hit by a car.,Did the rabbit make it to the other side safely?,"Yes
"
A_exp_list1,RRC28,The competent administrator delivered the message made the necessary arrangements.,Was the administrator well-prepared?,"Yes
"
A_exp_list1,RRC18,The helpful librarian lent the frayed book took good care of it.,Was the book in good condition?,"No
"
A_exp_list1,RRC35,The ailing mother prepared a hot meal ate it gratefully before going to bed.,Was the mother in good health?,"No
"
A_exp_list1,filler50,The children shrank back from the clown in revulsion.,Did the children like the clown?,"No
"
A_exp_list1,filler39,The crossing deer froze in fear as headlights approached them on the road.,Were the deer scared?,"Yes
"
A_exp_list1,filler5,The kindergartner bade good bye to her mother and ran to her friends.,Did the kindergartner bid good bye to her father?,"No
"
A_exp_list1,URC2,The itchy cat that was scratched behind its ears purred loudly and happily in satisfaction.,Was the cat pleased?,"Yes
"
A_exp_list1,URC22,The comical teenager who was sent the curious package was excited to open it.,Was the teenager eager to open the package?,"Yes
"
A_exp_list1,URC25,The little girl who was sat on the couch fell down and started crying.,Did the girl remain on the couch?,"No
"
A_exp_list2,filler62,The teenagers swore to be best friends forever.,Did the teenagers think that they were going to continue being good friends?,"Yes
"
A_exp_list2,RRC32,The nervous wrestler hurried through the stands hadn't seen his opponent.,Did the wrestler know his opponent?,"No
"
A_exp_list2,RRC20,The angry workers warned about low wages decided to file complaints.,Were the workers happy with their wages?,"No
"
A_exp_list2,filler51,"Judy sank into the luxurious seat, enjoying the smell of leather.",Was the seat made of leather? ,"Yes
"
A_exp_list2,RRC3,The frightened kid moved through the crowd got separated from Jane.,Was the kid scared?,"Yes
"
A_exp_list2,filler20,The hungry dog ate all of the food in the bowl.,Was there any food left in the bowl?,"No
"
A_exp_list2,RRC37,The rescue workers advised about the avalanche decided to stand by regardless.,Did the rescue workers know about the avalanche?,"Yes
"
A_exp_list2,RRC29,The little boy fed the rice crackers looked like he wanted to eat something else.,Did the boy want to eat the crackers?,"Yes
"
A_exp_list2,filler47,The energetic cat batted at the dust specks floating in the air.,Was the cat lazy?,"No
"
A_exp_list2,filler30,The gardener mowed the wide lawns and seeded them.,Were the lawns large?,"Yes
"
A_exp_list2,RRC31,The young kid undressed in a hurry got ready to go to school.,Was the kid going to his friend's house?,"No
"
A_exp_list2,RRC27,The bearded man shaved two weeks ago liked his stylish new look.,Was the man disappointed with his new look?,"No
"
A_exp_list2,RRC19,The skilled player passed the soccer ball failed to score a goal.,Did the player get a point?,"No
"
A_exp_list2,filler4,John became more frustrated with each passing minute.,Did John get less frustrated over time?,"No
"
A_exp_list2,RRC13,The skeptical editor read the story agreed reluctantly that it was very good.,Did the editor expect to like the story?,"No
"
A_exp_list2,filler63,The fish swam all around Jane and nipped at her legs.,Did the fish avoid Jane?,"No
"
A_exp_list2,RRC40,The avid reader suggested the unusual book enjoyed reading it very much.,Did the reader like the book?,Yes
A_exp_list2,filler25,The new manager undid most of the good work of his predecessor.,Did the previous manager do good work?,"Yes
"
A_exp_list2,filler49,The strict instructor confiscated the students' cell phones before class.,Was the instructor lenient?,"No
"
A_exp_list2,filler37,The basketball player's ankle swelled as he limped off the court.,Was the player injured?,"Yes
"
A_exp_list2,RRC10,My generous friend paid for the tickets bought popcorn for everyone.,Was the friend uncharitable?,"No
"
A_exp_list2,filler34,The woman eagerly waited to hear back from the dance company.,Was the woman looking forward to hearing some news?,"Yes
"
A_exp_list2,filler23,"Even though Joanna flew directly to Boston on Friday, she still missed the conference.",Was Joanna able to attend the conference?,"No
"
A_exp_list2,RRC21,The blue pen rested on the desk wound up getting stolen.,Was the pen blue?,"Yes
"
A_exp_list2,filler31,The babysitter ran frantically after the misbehaving children in the park.,Were the children well behaved?,"No
"
